"tender_id";"tenderMain_id";"weight";"hide";"createTime"
"35719261";"35718946";"777";"1";"2015-07-12 23:12:38"
"35723104";"35721977";"777";"1";"2015-07-13 02:14:29"
"35725443";"35726889";"777";"1";"2015-07-13 03:34:27"
"35731035";"35731967";"777";"1";"2015-07-13 05:23:57"
"35740926";"35739938";"777";"1";"2015-07-13 08:27:36"
"35750878";"35751080";"777";"1";"2015-07-13 11:23:03"
"35759522";"35759416";"777";"1";"2015-07-14 02:25:41"
"35770673";"35771706";"777";"1";"2015-07-14 06:34:48"
"35775754";"35775835";"777";"1";"2015-07-14 08:27:29"
"35790322";"35788108";"777";"1";"2015-07-14 19:11:50"
"35811983";"35811901";"777";"1";"2015-07-15 08:31:55"
"35849316";"35849481";"777";"1";"2015-07-16 10:33:04"
"35854310";"35853639";"777";"1";"2015-07-16 12:12:07"
"35873995";"35874711";"777";"1";"2015-07-17 06:21:30"
"35876540";"35877197";"777";"1";"2015-07-17 07:23:41"
"35879494";"35880170";"777";"1";"2015-07-17 08:21:45"
"35879556";"35880193";"777";"1";"2015-07-17 08:21:46"
"35895866";"35895900";"777";"1";"2015-07-19 21:12:33"
"35949600";"35948988";"777";"1";"2015-07-21 06:26:18"
"35962863";"35960918";"777";"1";"2015-07-21 10:16:43"
"35965284";"35963129";"777";"1";"2015-07-21 11:15:55"
"35980519";"35981876";"777";"1";"2015-07-22 05:35:02"
"35986176";"35986049";"777";"1";"2015-07-22 07:18:42"
"35994152";"35995930";"777";"1";"2015-07-22 09:35:35"
"35998357";"35996820";"777";"1";"2015-07-22 10:30:38"
"36000499";"36001434";"777";"1";"2015-07-22 11:34:58"
"36014531";"36012556";"777";"1";"2015-07-23 05:16:41"
"36022400";"36023208";"777";"1";"2015-07-23 08:35:26"
"36022892";"36020494";"777";"1";"2015-07-23 08:27:27"
"36025281";"36025288";"777";"1";"2015-07-23 09:32:49"
"36050817";"36049747";"777";"1";"2015-07-24 06:13:48"
"36052965";"36052926";"777";"1";"2015-07-24 07:35:10"
"36062453";"36062764";"777";"1";"2015-07-24 10:24:20"
"36062479";"36062167";"777";"1";"2015-07-24 10:36:59"
"36095877";"36095459";"777";"1";"2015-07-27 09:15:22"
"36105891";"36106086";"777";"1";"2015-07-27 13:19:51"
"36123399";"36122590";"777";"1";"2015-07-28 06:21:18"
"36203383";"36204206";"777";"1";"2015-07-30 10:21:56"
"36219057";"36220586";"777";"1";"2015-07-31 03:36:09"
"36240375";"36241529";"777";"1";"2015-07-31 09:35:46"
"36244126";"36246019";"777";"1";"2015-07-31 10:35:16"
"36247946";"36247703";"777";"1";"2015-07-31 11:29:12"
"36308593";"36309176";"777";"1";"2015-08-04 08:24:32"
