"record_id";"tender_id";"tag_id"
"142413693";"21278168";"1"
"142413682";"21389510";"1"
"142413499";"21783467";"1"
"142413497";"21783832";"1"
"142413495";"21788518";"1"
"142413447";"21805062";"1"
"142413434";"21808287";"1"
"142413243";"21851035";"1"
"142412183";"22050610";"1"
"142411677";"22093631";"1"
"142411425";"22110746";"1"
"149688216";"22479698";"1"
"158555402";"22627355";"1"
"168997472";"22871941";"1"
"173815173";"22957251";"1"
"201883816";"23427406";"1"
"207012588";"23641532";"1"
"230242320";"24336993";"1"
"246413095";"24613963";"1"
"293763810";"25338102";"1"
"299422512";"25397205";"1"
"302772212";"25453064";"1"
"312075610";"25609983";"1"
"312333162";"25610885";"1"
"327429636";"25768101";"1"
"355208885";"26134554";"1"
"355208866";"26135418";"1"
"359652054";"26167001";"1"
"363539545";"26226493";"1"
"363539542";"26226581";"1"
"384903224";"26481499";"1"
"385137988";"26482213";"1"
"392709033";"26551976";"1"
"394092770";"26570279";"1"
"407192823";"26708082";"1"
"431327701";"27243108";"1"
"454553551";"27529168";"1"
"457542694";"27568089";"1"
"478701509";"27809407";"1"
"486472703";"27903343";"1"
"512653066";"28203098";"1"
"521257738";"28285052";"1"
"529448801";"28346517";"1"
"545553006";"28508734";"1"
"548433282";"28549492";"1"
"548433281";"28549512";"1"
"552462917";"28581979";"1"
"561294546";"28725747";"1"
"561294530";"28726342";"1"
"567981232";"28768860";"1"
"658917724";"29903730";"1"
"665550392";"30001636";"1"
"705702570";"30344237";"1"
"706317224";"30357780";"1"
"764874718";"31184396";"1"
"812393033";"31751326";"1"
"824612129";"31869898";"1"
"846120492";"32116854";"1"
"850923968";"32192155";"1"
"889559755";"32589491";"1"
"916166849";"32643293";"1"
"894849565";"32673435";"1"
"928018071";"33043009";"1"
"943005982";"33379736";"1"
"979006485";"34323393";"1"
"981636462";"34419924";"1"
"988713326";"34479339";"1"
"993805559";"34623310";"1"
"142430046";"21363300";"2"
"142429995";"21475333";"2"
"142429512";"21805158";"2"
"142428321";"21946719";"2"
"142427777";"21996758";"2"
"142427110";"22050610";"2"
"142426775";"22065024";"2"
"142426276";"22077136";"2"
"142425188";"22104834";"2"
"142424728";"22114896";"2"
"142420614";"22192978";"2"
"142418082";"22246560";"2"
"142417549";"22256919";"2"
"142415999";"22291380";"2"
"142415142";"22307012";"2"
"142414399";"22324138";"2"
"144360664";"22387340";"2"
"144544882";"22397631";"2"
"148759273";"22439138";"2"
"148759274";"22439140";"2"
"148932542";"22456137";"2"
"148932538";"22456240";"2"
"149694005";"22487935";"2"
"151041944";"22514997";"2"
"152187572";"22541713";"2"
"152187431";"22546326";"2"
"152385621";"22546934";"2"
"153320957";"22556958";"2"
"156124598";"22574008";"2"
"156124597";"22574017";"2"
"156124595";"22574030";"2"
"157258663";"22598190";"2"
"157640905";"22617737";"2"
"158745102";"22634271";"2"
"159909167";"22661178";"2"
"159909168";"22661182";"2"
"165416876";"22758444";"2"
"165718665";"22771923";"2"
"166781060";"22798006";"2"
"169677913";"22890791";"2"
"171910405";"22916696";"2"
"173592504";"22949618";"2"
"173592368";"22952430";"2"
"173711438";"22954660";"2"
"173926336";"22960886";"2"
"174607556";"22984616";"2"
"174607560";"22984618";"2"
"175065082";"23002566";"2"
"175065036";"23003139";"2"
"175065043";"23003140";"2"
"175065044";"23003141";"2"
"175065046";"23003142";"2"
"175065040";"23003144";"2"
"175065038";"23003145";"2"
"175065042";"23003146";"2"
"175065037";"23003150";"2"
"175422688";"23016297";"2"
"175539036";"23021404";"2"
"175539035";"23021406";"2"
"175903803";"23031112";"2"
"177103488";"23054609";"2"
"177529835";"23062575";"2"
"177830867";"23077377";"2"
"177988220";"23081012";"2"
"178459177";"23083298";"2"
"178459147";"23089797";"2"
"178302210";"23092995";"2"
"178784586";"23109233";"2"
"178784531";"23110237";"2"
"178784515";"23110424";"2"
"178952126";"23113567";"2"
"197638906";"23266516";"2"
"200096417";"23339347";"2"
"201120099";"23382189";"2"
"201119819";"23398522";"2"
"201119817";"23398713";"2"
"205285898";"23573597";"2"
"210099165";"23762002";"2"
"210460856";"23788857";"2"
"210654263";"23807626";"2"
"213515202";"23901471";"2"
"216673236";"23957881";"2"
"216673234";"23957938";"2"
"217287310";"23989571";"2"
"219928944";"24083174";"2"
"221347997";"24147838";"2"
"223367568";"24164420";"2"
"231144798";"24355980";"2"
"231144679";"24357507";"2"
"232399544";"24391504";"2"
"234292470";"24433209";"2"
"238738146";"24477433";"2"
"239240647";"24495571";"2"
"239926744";"24504992";"2"
"241621159";"24551323";"2"
"242634143";"24572953";"2"
"242807459";"24574624";"2"
"242807078";"24580780";"2"
"245899159";"24597930";"2"
"246066496";"24600995";"2"
"248601349";"24663611";"2"
"249467787";"24673435";"2"
"249999250";"24691170";"2"
"254661369";"24750286";"2"
"275704987";"25035526";"2"
"275373028";"25037536";"2"
"275877305";"25053951";"2"
"280031542";"25055948";"2"
"280729127";"25095290";"2"
"280919831";"25095451";"2"
"280919698";"25099031";"2"
"281798022";"25112338";"2"
"282164116";"25126331";"2"
"282699299";"25130699";"2"
"283231089";"25148126";"2"
"284492823";"25173990";"2"
"284492649";"25176187";"2"
"284492573";"25177411";"2"
"285572624";"25192258";"2"
"285756696";"25205082";"2"
"290579758";"25265323";"2"
"290776929";"25266769";"2"
"290776877";"25267787";"2"
"292355363";"25306476";"2"
"293768537";"25336232";"2"
"294780427";"25354060";"2"
"296232081";"25373954";"2"
"299839274";"25392247";"2"
"299427242";"25395506";"2"
"299427172";"25401726";"2"
"300035924";"25410414";"2"
"302776358";"25460131";"2"
"304094996";"25482914";"2"
"303412645";"25489698";"2"
"304305611";"25495602";"2"
"304305559";"25500794";"2"
"306121344";"25518882";"2"
"306582531";"25522666";"2"
"306121155";"25536370";"2"
"305431152";"25542766";"2"
"309637785";"25562184";"2"
"311584087";"25593131";"2"
"311584062";"25593508";"2"
"311829218";"25600639";"2"
"312080825";"25604866";"2"
"312080548";"25609983";"2"
"312337738";"25610885";"2"
"314724069";"25648288";"2"
"314960690";"25653673";"2"
"315202810";"25656408";"2"
"316615156";"25682918";"2"
"321343047";"25714411";"2"
"322059132";"25721975";"2"
"322688253";"25734323";"2"
"322688204";"25735105";"2"
"323123909";"25744596";"2"
"323123662";"25748176";"2"
"323350048";"25748547";"2"
"323349976";"25749950";"2"
"323349928";"25750820";"2"
"323349891";"25751138";"2"
"323349853";"25751610";"2"
"323349838";"25751768";"2"
"324198432";"25756202";"2"
"324625016";"25760268";"2"
"324624880";"25767661";"2"
"327433948";"25773876";"2"
"331938923";"25796661";"2"
"331529825";"25797452";"2"
"332789325";"25817804";"2"
"332789327";"25817805";"2"
"332973090";"25824004";"2"
"333836943";"25831851";"2"
"333836909";"25832894";"2"
"334200209";"25837609";"2"
"334015248";"25844920";"2"
"334199955";"25846878";"2"
"335587630";"25862089";"2"
"336584411";"25884722";"2"
"337109523";"25888039";"2"
"340898484";"25910895";"2"
"342181299";"25934633";"2"
"342360342";"25939275";"2"
"342543881";"25941035";"2"
"342920656";"25946521";"2"
"343288924";"25957748";"2"
"344919888";"25982987";"2"
"345097593";"25983003";"2"
"345097548";"25985615";"2"
"345834104";"26011028";"2"
"350530678";"26044943";"2"
"352220318";"26084135";"2"
"353507178";"26101091";"2"
"353725369";"26109437";"2"
"354788846";"26118010";"2"
"354788847";"26118012";"2"
"354999400";"26122744";"2"
"359031291";"26149810";"2"
"359031279";"26149924";"2"
"360646457";"26174021";"2"
"360847093";"26183620";"2"
"362410180";"26206631";"2"
"362979914";"26212154";"2"
"363545272";"26226538";"2"
"368583701";"26266130";"2"
"368779945";"26275548";"2"
"370116454";"26293273";"2"
"371254184";"26309153";"2"
"371649249";"26318777";"2"
"371648980";"26322231";"2"
"372226386";"26323712";"2"
"372805414";"26339273";"2"
"373010317";"26340803";"2"
"373010178";"26343157";"2"
"378910113";"26393323";"2"
"378910096";"26393798";"2"
"379783893";"26398604";"2"
"379783864";"26398956";"2"
"380001974";"26403128";"2"
"380460934";"26418737";"2"
"389348962";"26497085";"2"
"392036607";"26535357";"2"
"392714890";"26548410";"2"
"394337629";"26575515";"2"
"394589473";"26581735";"2"
"394589390";"26582731";"2"
"402393988";"26638576";"2"
"402393805";"26642059";"2"
"403716955";"26654955";"2"
"404174904";"26664568";"2"
"405698186";"26684206";"2"
"406974151";"26709311";"2"
"411154422";"26732780";"2"
"414227190";"26783272";"2"
"416343367";"26808684";"2"
"416548425";"26813728";"2"
"416975475";"26821384";"2"
"416975379";"26822816";"2"
"417626644";"26827567";"2"
"420674792";"26832543";"2"
"423725021";"26874307";"2"
"423926779";"26879547";"2"
"425417993";"26904370";"2"
"431119247";"27236243";"2"
"431333506";"27243108";"2"
"434460258";"27287788";"2"
"434709151";"27295396";"2"
"436702427";"27326818";"2"
"437684164";"27338426";"2"
"442566874";"27374436";"2"
"444302849";"27395750";"2"
"445562745";"27411895";"2"
"446529169";"27433940";"2"
"446529141";"27434255";"2"
"448006575";"27472940";"2"
"449976271";"27503463";"2"
"454322422";"27519501";"2"
"455773398";"27540241";"2"
"460607376";"27617764";"2"
"468213639";"27694929";"2"
"469730935";"27713920";"2"
"469730849";"27715237";"2"
"470821322";"27730510";"2"
"471465025";"27742953";"2"
"475930538";"27772319";"2"
"476804710";"27780564";"2"
"477434735";"27792064";"2"
"477434725";"27792182";"2"
"478292877";"27803518";"2"
"479145510";"27820070";"2"
"478922898";"27820095";"2"
"480622571";"27841002";"2"
"480622562";"27841301";"2"
"480622538";"27841867";"2"
"481250493";"27849588";"2"
"481877880";"27862156";"2"
"481877876";"27862197";"2"
"486252281";"27898948";"2"
"488009240";"27931075";"2"
"490961708";"27968853";"2"
"492763347";"27998455";"2"
"501276556";"28022869";"2"
"501276238";"28045989";"2"
"501466670";"28046536";"2"
"501275845";"28069119";"2"
"501645841";"28070454";"2"
"501835865";"28074335";"2"
"502651469";"28090851";"2"
"502651351";"28093675";"2"
"502651217";"28095430";"2"
"509334873";"28155993";"2"
"509798475";"28163803";"2"
"509798382";"28165396";"2"
"512902396";"28210521";"2"
"513409176";"28218589";"2"
"518218210";"28244367";"2"
"521020588";"28280900";"2"
"522926124";"28304964";"2"
"525077474";"28333464";"2"
"529698825";"28356862";"2"
"530657162";"28363475";"2"
"531363695";"28379529";"2"
"533286575";"28404988";"2"
"533286480";"28406309";"2"
"534234403";"28412469";"2"
"534720180";"28425657";"2"
"549471863";"28568681";"2"
"550730254";"28581979";"2"
"554790583";"28613927";"2"
"558307132";"28683490";"2"
"560398617";"28719471";"2"
"561898102";"28734467";"2"
"562529473";"28751842";"2"
"567986778";"28770488";"2"
"568299881";"28779528";"2"
"573092927";"28866597";"2"
"575724644";"28907993";"2"
"586941347";"29023289";"2"
"589030834";"29058813";"2"
"589768228";"29071726";"2"
"594118859";"29133355";"2"
"603950875";"29196638";"2"
"605579622";"29219216";"2"
"607929525";"29254359";"2"
"607929516";"29254447";"2"
"607929509";"29254643";"2"
"610097890";"29280191";"2"
"612636981";"29327230";"2"
"617523889";"29353582";"2"
"617523886";"29353630";"2"
"617523879";"29353819";"2"
"617866510";"29354340";"2"
"617866500";"29354572";"2"
"621055872";"29383497";"2"
"620675789";"29386160";"2"
"620675749";"29386834";"2"
"622758237";"29420072";"2"
"624879412";"29448537";"2"
"625239603";"29458249";"2"
"627920743";"29494517";"2"
"629801683";"29510458";"2"
"638690185";"29580383";"2"
"639310599";"29587786";"2"
"644276613";"29661484";"2"
"651460593";"29724958";"2"
"657220462";"29859021";"2"
"657220460";"29859091";"2"
"657474326";"29874161";"2"
"658223356";"29887046";"2"
"659163342";"29912683";"2"
"663825612";"29962374";"2"
"664337716";"29980708";"2"
"664337713";"29980732";"2"
"665553555";"30006697";"2"
"666575310";"30029993";"2"
"666822139";"30034242";"2"
"713262622";"30472467";"2"
"714894388";"30510908";"2"
"722397430";"30603717";"2"
"723984931";"30634639";"2"
"729326501";"30719964";"2"
"735280192";"30776862";"2"
"738752488";"30846851";"2"
"742566876";"30914141";"2"
"743896566";"30923972";"2"
"748784387";"30961395";"2"
"750143835";"30987535";"2"
"750143747";"30988660";"2"
"750393542";"30991570";"2"
"751380559";"31020802";"2"
"753782389";"31060136";"2"
"755109169";"31082228";"2"
"755902815";"31092991";"2"
"756689154";"31097415";"2"
"764615764";"31179202";"2"
"764615753";"31179337";"2"
"765951125";"31206437";"2"
"766532662";"31214021";"2"
"768796454";"31255365";"2"
"768796406";"31257060";"2"
"774180082";"31293956";"2"
"774180055";"31295226";"2"
"774179818";"31301277";"2"
"774179696";"31304675";"2"
"777389612";"31357358";"2"
"783022150";"31437482";"2"
"791562305";"31470374";"2"
"793388688";"31498762";"2"
"793388602";"31501688";"2"
"793673067";"31503668";"2"
"794264094";"31521008";"2"
"795121508";"31529813";"2"
"795121488";"31530440";"2"
"795972459";"31550929";"2"
"796271675";"31558697";"2"
"804032150";"31639558";"2"
"806213733";"31669298";"2"
"808130486";"31695117";"2"
"809787475";"31718185";"2"
"810756615";"31736991";"2"
"811441528";"31745778";"2"
"812397335";"31751326";"2"
"812720154";"31760591";"2"
"824617057";"31760697";"2"
"813050219";"31765715";"2"
"813387521";"31775970";"2"
"819709047";"31800604";"2"
"824278589";"31865269";"2"
"826244794";"31893380";"2"
"826583161";"31898565";"2"
"827889774";"31912127";"2"
"828840822";"31918760";"2"
"828516879";"31925372";"2"
"839011744";"32024031";"2"
"840609498";"32042075";"2"
"840770020";"32051282";"2"
"841081654";"32052227";"2"
"842039100";"32064802";"2"
"842353507";"32064847";"2"
"843554699";"32088964";"2"
"845828454";"32113686";"2"
"847044831";"32130426";"2"
"848562753";"32160958";"2"
"850929693";"32192189";"2"
"861585894";"32298077";"2"
"862419060";"32314319";"2"
"864122845";"32333189";"2"
"866363817";"32359643";"2"
"873555255";"32417490";"2"
"873848628";"32424655";"2"
"873848627";"32424671";"2"
"875863998";"32451366";"2"
"877837124";"32465275";"2"
"885127838";"32470447";"2"
"884047828";"32472948";"2"
"878114551";"32477260";"2"
"880389530";"32496205";"2"
